
Moedas;0,01e;0,02e;0,05e;0,1e;0,2e;0,5e;1e;2e;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;49;54;7;33;12;2;33;50;141,62;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;0;0;2;4;25;0;0;0;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;5;0;15;0;1;3;1;1;5,5;
TrepaColinasV3;51;26;16;23;54;13;11;0;32,43;
TrepaColinasV3;51;26;16;23;54;13;11;0;32,43;
TrepaColinasV3;51;26;16;23;54;13;11;0;32,43;
TrepaColinasV3;51;26;16;23;54;13;11;0;32,43;
TrepaColinasV3;51;26;16;23;54;13;11;0;32,43;
TrepaColinasV3;51;26;16;23;54;13;11;0;32,43;
TrepaColinasV3;51;26;16;23;54;13;11;0;32,43;
TrepaColinasV3;51;26;16;23;54;13;11;0;32,43;
