Evolutivo : mutação inteligente, crossover original, inicia com valores aleatorios entre 0 e e 1/10 do numero maximo de moedas possivel;
Iteracao;Moedas;0,01e;0,02e;0,05e;0,1e;0,2e;0,5e;Valor;Numero de moedas;
Evolutivo;500;49;40;12;9;11;1;5,49;122;
Evolutivo;901;1;32;13;0;21;0;5,5;67;
Evolutivo;862;14;33;10;17;0;5;5,5;79;
Evolutivo;186;7;35;8;36;1;1;5,47;88;
Evolutivo;661;6;12;18;36;1;1;5,5;74;
Evolutivo;269;42;36;12;1;18;0;5,44;109;
Evolutivo;415;16;34;1;14;11;2;5,49;78;
Evolutivo;30;22;24;18;11;9;2;5,5;86;
Evolutivo;540;28;36;50;0;10;0;5,5;124;
Evolutivo;251;25;7;18;1;8;5;5,49;64;
Evolutivo;121;8;11;14;33;6;0;5,5;72;
Evolutivo;349;38;41;28;12;1;3;5,5;123;
Evolutivo;597;11;8;13;10;15;1;5,42;58;
Evolutivo;555;36;15;9;20;7;2;5,51;89;
Evolutivo;875;31;51;31;6;0;4;5,48;123;
Evolutivo;341;20;52;2;1;0;8;5,44;83;
Evolutivo;236;21;27;29;7;8;2;5,5;94;
Evolutivo;668;2;24;42;7;6;2;5,5;83;
Evolutivo;347;26;3;23;36;2;0;5,47;90;
Evolutivo;661;26;3;13;39;1;1;5,57;83;
Evolutivo;450;24;9;26;1;9;4;5,62;73;
Evolutivo;654;26;37;1;16;2;5;5,55;87;
Evolutivo;306;18;28;28;12;11;0;5,54;97;
Evolutivo;161;51;27;13;3;5;5;5,5;104;
Evolutivo;785;0;10;10;3;15;3;5,5;41;
Evolutivo;553;46;7;13;5;14;2;5,55;87;
Evolutivo;738;9;15;9;6;15;2;5,44;56;
Evolutivo;209;3;40;11;2;2;7;5,48;65;
Evolutivo;438;50;21;6;4;17;1;5,52;99;
Evolutivo;473;53;48;6;12;0;5;5,49;124;
Evolutivo;112;0;15;48;11;6;1;5,5;81;
Evolutivo;176;30;8;15;10;14;1;5,51;78;
Evolutivo;0;49;1;14;0;14;3;5,51;81;
Evolutivo;392;28;47;21;2;5;4;5,47;107;
Evolutivo;979;4;3;2;12;3;7;5,5;31;
Evolutivo;451;1;6;5;5;8;6;5,48;31;
Evolutivo;0;45;35;13;13;12;0;5,5;118;
Evolutivo;513;17;47;23;10;11;0;5,46;108;
Evolutivo;502;20;39;12;2;16;1;5,48;90;
Evolutivo;197;37;20;19;12;5;3;5,42;96;
Evolutivo;147;18;36;0;8;2;7;5,6;71;
Evolutivo;909;14;53;10;12;13;0;5,5;102;
Evolutivo;124;1;51;49;11;0;2;5,58;114;
Evolutivo;106;37;38;9;25;0;3;5,58;112;
Evolutivo;562;24;20;47;2;9;1;5,49;103;
Evolutivo;641;38;8;9;17;4;4;5,49;80;
Evolutivo;672;28;42;4;30;6;0;5,52;110;
Evolutivo;683;16;4;0;12;8;5;5,54;45;
Evolutivo;708;22;54;20;3;7;3;5,5;109;
Evolutivo;337;32;8;26;10;11;1;5,48;88;
Evolutivo;194;47;51;30;6;7;1;5,49;142;
Evolutivo;0;30;45;18;2;16;0;5,5;111;
Evolutivo;702;8;6;29;11;4;4;5,55;62;
Evolutivo;312;1;16;53;1;7;2;5,48;80;
Evolutivo;389;14;7;18;1;6;6;5,48;52;
Evolutivo;712;34;12;11;14;0;6;5,53;77;
