TrepaColinas : Gera Vizinho de forma random e inicia tudo a 0;
Iteracao;Moedas;0,01e;0,02e;0,05e;0,1e;0,2e;0,5e;Valor;Numero de moedas;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;527;1;7;7;16;2;6;5,5;39;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;247;1;7;5;1;5;8;5,5;27;
TrepaColinas;318;5;5;7;0;10;6;5,5;33;
TrepaColinas;499;5;10;5;11;12;3;5,5;46;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;190;8;6;6;3;1;9;5,5;33;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;204;3;6;5;5;3;8;5,5;30;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;346;6;7;8;4;5;7;5,5;37;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;529;3;11;5;17;4;5;5,5;45;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;356;1;12;1;6;8;6;5,5;34;
TrepaColinas;323;11;17;11;7;4;6;5,5;56;
TrepaColinas;538;17;14;7;4;9;5;5,5;56;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;389;3;6;13;8;7;5;5,5;42;
TrepaColinas;331;0;0;16;0;6;7;5,5;29;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;338;0;0;6;5;11;5;5,5;27;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;166;9;8;7;2;11;5;5,5;42;
TrepaColinas;339;1;2;1;7;1;9;5,5;21;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;338;11;7;3;12;17;1;5,5;51;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;495;8;1;10;6;4;7;5,5;36;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;154;6;2;6;1;0;10;5,5;25;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;301;2;9;4;1;5;8;5,5;29;
TrepaColinas;222;3;11;1;4;9;6;5,5;34;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;237;3;1;11;11;4;6;5,5;36;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;134;5;0;1;2;6;8;5,5;22;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;98;0;0;0;11;2;8;5,5;21;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;161;3;1;1;7;11;5;5,5;28;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
TrepaColinas;0;0;0;0;0;0;0;0;0;
